"transaction_id","account_id","transaction_date","posted_date","description","amount","currency","source_file","client_reported_category"
"T00043","A001","7/24/2025","2025-07-25","DOORDASH*TEMP AUTH","-93.16","USD","A001_07_export.csv",""
"T00044","A003","10/17/2025","2025-10-18","AIRBNB * HM","-891.43","USD","A003_10_export.csv",""
"T00045","A003","1/15/2025","2025-01-16","UBER *TRIP","-36.38","USD","A003_01_export.csv",""
"T00046","A001","2025-09-18","2025-09-19","Marriott","-947.47","USD","A001_09_export.csv","Shopping"
"T00047","A001","2025-08-22 00:00:00","2025-08-23","Walgreens","-70.57","USD","A001_08_export.csv",""
"T00048","A002","2025-12-11","2025-12-12","CHIPOTLE 2841","-64.72","USD","A002_12_export.csv",""
"T00049","A002","2025-11-14","2025-11-15","Shell","-25.95","USD","A002_11_export.csv",""
"T00050","A004","2025-06-26 00:00:00","2025-06-28","Cox Communications","-88.31","USD","A004_06_export.csv",""
"T00051","A003","2025-07-06","2025-07-08","CVS","-59.11","USD","A003_07_export.csv",""
"T00052","A003","2025-10-20","2025-10-22","Uber Eats","-51.69","USD","A003_10_export.csv",""
"T00053","A005","2/3/2025","2025-02-04","Netflix","-44.16","USD","A005_02_export.csv",""
"T00054","A004","2025-04-10 00:00:00","2025-04-11","UBER *EATS","-101.69","USD","A004_04_export.csv",""
"T00055","A003","2025-05-29","2025-05-30","TRADER JOES 124","-50.46","USD","A003_05_export.csv",""
"T00056","A001","9/18/2025","2025-09-19","LAS VEGAS ATHLETIC CLUB","-25.56","USD","A001_09_export.csv",""
"T00057","A002","2025-03-16 00:00:00","2025-03-17","NIKE LAS VEGAS","-245.63","USD","A002_03_export.csv","Food"
"T00058","A004","3/3/2025","2025-03-04","MARRIOTT HOTEL","-771.74","USD","A004_03_export.csv",""
"T00059","A005","2025-07-20","2025-07-22","NV Energy","-174.7","USD","A005_07_export.csv",""
"T00060","A001","2025-10-01 00:00:00","2025-10-03","COSTCO WHSE #1320","-25.74","USD","A001_10_export.csv",""
"T00061","A004","2025-01-09 00:00:00","2025-01-10","Airbnb","-761.17","USD","A004_01_export.csv",""
"T00062","A005","2025-07-18 00:00:00","2025-07-19","Costco","-114.59","USD","A005_07_export.csv",""
"T00063","A005","12/6/2025","2025-12-07","Airbnb","-882.98","USD","A005_12_export.csv",""
"T00064","A003","5/29/2025","2025-05-31","Target","-185.69","USD","A003_05_export.csv",""
"T00065","A001","2025-10-29","2025-10-30","Amazon","-182.34","USD","A001_10_export.csv",""
"T00066","A003","2025-02-01 00:00:00","2025-02-03","DD *DOORDASH","-61.05","USD","A003_02_export.csv",""
"T00067","A004","7/1/2025","2025-07-03","NV Energy","-114.08","USD","A004_07_export.csv",""
"T00068","A003","7/21/2025","2025-07-22","LVAC","-115.49","USD","A003_07_export.csv",""
"T00069","A002","2025-11-09 00:00:00","2025-11-10","AMC Theatres","-69.77","USD","A002_11_export.csv",""
"T00070","A003","2/14/2025","2025-02-16","AMC 0039 TOWN SQUARE","-45.96","USD","A003_02_export.csv",""
"T00071","A003","11/28/2025","2025-11-29","LAS VEGAS ATHLETIC CLUB","-71.25","USD","A003_11_export.csv","Shopping"
"T00072","A001","2025-09-15 00:00:00","2025-09-16","DOORDASH*TEMP AUTH","-9.71","USD","A001_09_export.csv",""
"T00073","A004","2025-07-30","2025-07-31","Airbnb","-191.34","USD","A004_07_export.csv",""
"T00074","A004","2025-12-30","2025-12-31","Shell","-83","USD","A004_12_export.csv",""
"T00075","A004","12/8/2025","2025-12-09","CVS","-107.04","USD","A004_12_export.csv",""
"T00076","A002","2025-09-18","2025-09-19","TARGET T-2450","-129.91","USD","A002_09_export.csv",""
"T00077","A002","2025-04-01 00:00:00","2025-04-02","MARRIOTT HOTEL","-185.06","USD","A002_04_export.csv",""
"T00078","A001","4/5/2025","2025-04-06","DoorDash","-113.42","USD","A001_04_export.csv",""
"T00079","A005","10/16/2025","2025-10-17","Chevron","-69.85","USD","A005_10_export.csv",""
"T00080","A001","2025-09-30","2025-10-01","SMITHS GROCERY 0348","-175.14","USD","A001_09_export.csv",""
"T00081","A001","2/22/2025","2025-02-23","Nike","-254.14","USD","A001_02_export.csv","Other"
"T00082","A003","2025-06-19 00:00:00","2025-06-21","AIRBNB * HM","-450.4","USD","A003_06_export.csv",""
"T00083","A005","2025-03-17 00:00:00","2025-03-18","Cox Communications","-197.94","USD","A005_03_export.csv","Bills"
"T00084","A002","2025-11-15 00:00:00","2025-11-16","SMITHS GROCERY 0348","-137.42","USD","A002_11_export.csv",""
"T00085","A003","2025-01-11 00:00:00","2025-01-12","Shell","-91.08","USD","A003_01_export.csv",""
"T00086","A005","1/14/2025","2025-01-15","Uber","-71.27","USD","A005_01_export.csv",""
"T00087","A004","6/14/2025","2025-06-15","Chipotle","-109.26","USD","A004_06_export.csv",""
"T00088","A001","11/16/2025","2025-11-17","Spotify","-25.94","USD","A001_11_export.csv",""
"T00089","A001","2025-02-04 00:00:00","2025-02-05","Spotify","-37.63","USD","A001_02_export.csv",""
"T00090","A005","8/19/2025","2025-08-20","COX COMMUNICATIONS","-51.66","USD","A005_08_export.csv",""
"T00091","A001","12/22/2025","2025-12-23","AIRBNB * HM","-945.86","USD","A001_12_export.csv",""
"T00092","A002","5/17/2025","2025-05-18","Uber","-80.79","USD","A002_05_export.csv",""
"T00093","A002","2025-11-27 00:00:00","2025-11-28","NVENERGY PAYMENT","-126.11","USD","A002_11_export.csv",""
"T00094","A005","2025-07-30 00:00:00","2025-07-31","Chipotle","-37.73","USD","A005_07_export.csv",""
"T00095","A004","2025-10-06 00:00:00","2025-10-07","MARRIOTT HOTEL","-677.88","USD","A004_10_export.csv",""
"T00096","A002","2025-05-13","2025-05-14","CVS/PHARMACY #8829","-28.5","USD","A002_05_export.csv",""
"T00097","A003","2025-10-10 00:00:00","2025-10-12","LVAC","-100.54","USD","A003_10_export.csv",""
"T00098","A003","5/4/2025","2025-05-05","Marriott","-356.82","USD","A003_05_export.csv",""
"T00099","A004","2025-05-02","2025-05-03","Marriott","-589.74","USD","A004_05_export.csv",""
"T00100","A004","2025-09-24","2025-09-25","CHIPOTLE 2841","-71.89","USD","A004_09_export.csv","Bills"
"T00101","A002","7/15/2025","2025-07-17","UBER *EATS","-61.1","USD","A002_07_export.csv",""
"T00102","A004","2025-10-22 00:00:00","2025-10-23","Marriott","-445.2","USD","A004_10_export.csv",""
"T00103","A002","2025-09-09 00:00:00","2025-09-11","UBER *EATS","-74.69","USD","A002_09_export.csv",""
"T00104","A001","2025-08-26","2025-08-27","Costco","-92.06","USD","A001_08_export.csv",""
"T00105","A003","9/13/2025","2025-09-14","SHELL OIL 5742","-88.65","USD","A003_09_export.csv",""
"T00106","A001","2025-01-20 00:00:00","2025-01-22","Costco","-143.79","USD","A001_01_export.csv",""
"T00107","A005","2025-05-23 00:00:00","2025-05-25","WALGREENS #04712","-123.06","USD","A005_05_export.csv",""
"T00108","A003","4/8/2025","2025-04-09","Chipotle","-89.16","USD","A003_04_export.csv",""
"T00109","A003","2025-09-02","2025-09-03","Southwest Airlines","-515.46","USD","A003_09_export.csv",""
"T00110","A005","2025-04-15 00:00:00","2025-04-16","SPOTIFY USA","-34.99","USD","A005_04_export.csv",""
"T00111","A003","2025-07-25 00:00:00","2025-07-26","SHELL OIL 5742","-64.98","USD","A003_07_export.csv",""
"T00112","A002","2025-10-14 00:00:00","2025-10-16","COX COMMUNICATIONS","-182.65","USD","A002_10_export.csv",""
"T00113","A004","2/6/2025","2025-02-07","Cox Communications","-195.68","USD","A004_02_export.csv",""
"T00114","A003","2025-04-04","2025-04-05","SW GAS CORP","-148.54","USD","A003_04_export.csv",""
"T00115","A005","7/6/2025","2025-07-07","UBER EATS HELP","-76.8","USD","A005_07_export.csv","Shopping"
"T00116","A002","2025-03-15","2025-03-16","Airbnb","-387.62","USD","A002_03_export.csv","Other"
"T00117","A003","2025-11-26","2025-11-27","AMZN Mktp US*","-62.65","USD","A003_11_export.csv","Bills"
"T00118","A004","2025-02-01","2025-02-02","NVENERGY PAYMENT","-123.46","USD","A004_02_export.csv",""
"T00119","A005","2025-03-10 00:00:00","2025-03-11","AMZN Mktp US*","-165.58","USD","A005_03_export.csv",""
"T00120","A005","2025-03-15","2025-03-16","NVENERGY PAYMENT","-193.77","USD","A005_03_export.csv",""
"T00121","A003","2025-11-07","2025-11-08","COX COMMUNICATIONS","-185.21","USD","A003_11_export.csv",""
"T00122","A005","2025-03-24 00:00:00","2025-03-25","Airbnb","-237.65","USD","A005_03_export.csv",""
"T00123","A002","2025-11-25 00:00:00","2025-11-26","TRADER JOES 124","-104.83","USD","A002_11_export.csv",""
"T00124","A004","2025-12-08 00:00:00","2025-12-10","SOUTHWEST AIR","-949.09","USD","A004_12_export.csv",""
"T00125","A005","2025-01-15","2025-01-16","CHEVRON 0209341","-92.1","USD","A005_01_export.csv",""
"T00126","A001","2025-02-27 00:00:00","2025-02-28","SOUTHWEST AIR","-141.39","USD","A001_02_export.csv",""
"T00127","A002","2025-12-16 00:00:00","2025-12-18","CHIPOTLE 2841","-98.93","USD","A002_12_export.csv",""
"T00128","A003","2025-10-08 00:00:00","2025-10-10","AMC 0039 TOWN SQUARE","-18.61","USD","A003_10_export.csv",""
"T00129","A003","2025-06-09 00:00:00","2025-06-10","COX COMMUNICATIONS","-179.03","USD","A003_06_export.csv",""
"T00130","A003","2025-01-03","2025-01-05","WALGREENS #04712","-19.6","USD","A003_01_export.csv",""
"T00131","A001","2025-05-04","2025-05-05","Cox Communications","-175.34","USD","A001_05_export.csv",""
"T00132","A003","2025-01-15 00:00:00","2025-01-17","Cox Communications","-96.08","USD","A003_01_export.csv",""
"T00133","A001","2025-07-27","2025-07-28","NETFLIX.COM","-58.82","USD","A001_07_export.csv",""
"T00134","A002","2025-09-06","2025-09-08","TARGET T-2450","-103.42","USD","A002_09_export.csv",""
"T00135","A002","5/4/2025","2025-05-05","Trader Joe's","-73.34","USD","A002_05_export.csv",""
"T00136","A002","2025-09-22 00:00:00","2025-09-24","Spotify","-12.97","USD","A002_09_export.csv",""
"T00137","A001","2025-10-06 00:00:00","2025-10-07","AIRBNB * HM","-133.44","USD","A001_10_export.csv",""
"T00138","A004","2025-02-01","2025-02-02","TARGET T-2450","-239.43","USD","A004_02_export.csv",""
"T00139","A001","11/20/2025","2025-11-21","Walgreens","-30.03","USD","A001_11_export.csv","Shopping"
"T00140","A002","10/6/2025","2025-10-07","Smith's","-51.34","USD","A002_10_export.csv",""
"T00141","A005","2025-04-13","2025-04-14","SPOTIFY USA","-66.38","USD","A005_04_export.csv",""
"T00142","A001","2025-08-05","2025-08-07","SW GAS CORP","-228.88","USD","A001_08_export.csv",""
"T00143","A005","2025-09-07 00:00:00","2025-09-08","NIKE LAS VEGAS","-166.25","USD","A005_09_export.csv",""
"T00144","A003","4/28/2025","2025-04-29","Uber","-71.35","USD","A003_04_export.csv",""
"T00145","A002","2025-08-29 00:00:00","2025-08-30","Yard House","-35.52","USD","A002_08_export.csv",""
"T00146","A004","2025-10-16 00:00:00","2025-10-17","SPOTIFY USA","-42.09","USD","A004_10_export.csv",""
"T00147","A003","2025-12-30 00:00:00","2025-12-31","Smith's","-20.99","USD","A003_12_export.csv",""
"T00148","A004","2025-03-01","2025-03-03","YARD HOUSE 8387","-88.02","USD","A004_03_export.csv",""
"T00149","A004","2025-03-21","2025-03-22","COSTCO WHSE #1320","-55.79","USD","A004_03_export.csv","Food"
"T00150","A004","2025-02-04","2025-02-05","CHIPOTLE 2841","-15.14","USD","A004_02_export.csv",""
"T00151","A005","8/16/2025","2025-08-17","Yard House","-87.89","USD","A005_08_export.csv",""
"T00152","A004","2025-01-01 00:00:00","2025-01-02","Nike","-84.06","USD","A004_01_export.csv",""
"T00153","A002","2025-03-15","2025-03-16","NVENERGY PAYMENT","-135.29","USD","A002_03_export.csv",""
"T00154","A002","2025-10-05","2025-10-06","SPOTIFY USA","-55.87","USD","A002_10_export.csv",""
"T00155","A001","2025-02-25 00:00:00","2025-02-26","Walgreens","-102.09","USD","A001_02_export.csv","Bills"
"T00156","A002","5/4/2025","2025-05-05","AMZN Mktp US*","-94.89","USD","A002_05_export.csv",""
"T00157","A004","8/6/2025","2025-08-07","AMC 0039 TOWN SQUARE","-67.64","USD","A004_08_export.csv",""
"T00158","A003","2025-10-10","2025-10-11","WALGREENS #04712","-76.99","USD","A003_10_export.csv",""
"T00159","A001","2025-03-14 00:00:00","2025-03-15","SMITHS #348","-164.92","USD","A001_03_export.csv","Food"
"T00160","A004","2025-12-03 00:00:00","2025-12-04","Trader Joe's","-118.77","USD","A004_12_export.csv",""
"T00161","A004","8/16/2025","2025-08-17","TARGET T-2450","-123.57","USD","A004_08_export.csv",""
"T00162","A001","2025-04-17","2025-04-18","Chevron","-46.91","USD","A001_04_export.csv",""
"T00163","A001","2025-04-15","2025-04-16","UBER *TRIP","-51.49","USD","A001_04_export.csv",""
"T00164","A002","2025-11-08","2025-11-09","SPOTIFY USA","-22.2","USD","A002_11_export.csv",""
"T00165","A002","12/9/2025","2025-12-10","AMAZON.COM*","-120.65","USD","A002_12_export.csv",""
"T00166","A002","2025-05-13","2025-05-14","Uber Eats","-114.42","USD","A002_05_export.csv",""
"T00167","A001","2025-05-21 00:00:00","2025-05-22","Smith's","-176.48","USD","A001_05_export.csv",""
"T00168","A002","8/9/2025","2025-08-11","LVAC","-20.36","USD","A002_08_export.csv",""
"T00169","A004","2025-12-21 00:00:00","2025-12-22","NVENERGY PAYMENT","-77.89","USD","A004_12_export.csv",""
"T00170","A002","7/2/2025","2025-07-03","Yard House","-68.2","USD","A002_07_export.csv",""
"T00171","A004","8/11/2025","2025-08-12","NV Energy","-60.4","USD","A004_08_export.csv",""
"T00172","A004","1/2/2025","2025-01-03","Trader Joe's","-115.54","USD","A004_01_export.csv",""
"T00173","A005","2025-04-08","2025-04-09","Yard House","-88.27","USD","A005_04_export.csv",""
"T00174","A002","2025-11-02 00:00:00","2025-11-03","Amazon","-71.26","USD","A002_11_export.csv",""
"T00175","A001","2025-11-06","2025-11-07","NV Energy","-170.54","USD","A001_11_export.csv",""
"T00176","A004","2025-04-19 00:00:00","2025-04-21","COX COMMUNICATIONS","-124.67","USD","A004_04_export.csv","Shopping"
"T00177","A003","2025-10-07 00:00:00","2025-10-08","AMC Theatres","-32.57","USD","A003_10_export.csv","Bills"
"T00178","A005","2025-08-26 00:00:00","2025-08-27","Amazon","-146.46","USD","A005_08_export.csv",""
"T00179","A005","2025-04-09 00:00:00","2025-04-10","SPOTIFY USA","-37.98","USD","A005_04_export.csv",""
"T00180","A001","2025-01-31","2025-02-01","TARGET T-2450","-125.94","USD","A001_01_export.csv",""
"T00181","A003","2025-12-16 00:00:00","2025-12-17","SOUTHWEST AIR","-873.54","USD","A003_12_export.csv","Bills"
"T00182","A001","2025-02-08 00:00:00","2025-02-09","NETFLIX.COM","-68.66","USD","A001_02_export.csv",""
"T00183","A002","2025-02-28","2025-03-01","COSTCO WHSE #1320","-121.62","USD","A002_02_export.csv","Food"
"T00184","A003","4/13/2025","2025-04-14","SOUTHWEST AIR","-545.92","USD","A003_04_export.csv",""
"T00185","A001","2025-12-18 00:00:00","2025-12-20","SOUTHWEST AIR","-295.66","USD","A001_12_export.csv",""
"T00186","A003","2025-01-13","2025-01-14","Smith's","-119.68","USD","A003_01_export.csv",""
"T00187","A001","2025-01-23 00:00:00","2025-01-24","TRADER JOES 124","-88.43","USD","A001_01_export.csv",""
"T00188","A001","4/2/2025","2025-04-04","LAS VEGAS ATHLETIC CLUB","-102.52","USD","A001_04_export.csv",""
"T00189","A003","2025-05-27 00:00:00","2025-05-28","COX COMMUNICATIONS","-130.22","USD","A003_05_export.csv",""
"T00190","A002","2025-09-08 00:00:00","2025-09-09","Walgreens","-96.91","USD","A002_09_export.csv",""
"T00191","A004","11/13/2025","2025-11-14","SMITHS #348","-74.94","USD","A004_11_export.csv",""
"T00192","A003","5/3/2025","2025-05-04","Marriott","-361.67","USD","A003_05_export.csv",""
"T00193","A005","11/21/2025","2025-11-22","DOORDASH*TEMP AUTH","-55.39","USD","A005_11_export.csv",""
"T00194","A004","1/8/2025","2025-01-09","Shell","-44.86","USD","A004_01_export.csv",""
"T00195","A005","5/8/2025","2025-05-10","CHEVRON 0209341","-63.32","USD","A005_05_export.csv",""
"T00196","A002","2025-03-23","2025-03-24","Southwest Gas","-220.02","USD","A002_03_export.csv",""
"T00197","A005","10/17/2025","2025-10-18","CHEVRON 0209341","-14.14","USD","A005_10_export.csv","Shopping"
"T00198","A002","2025-04-09 00:00:00","2025-04-10","Costco","-47.87","USD","A002_04_export.csv",""
"T00199","A002","2025-03-14","2025-03-15","DOORDASH*TEMP AUTH","-73.04","USD","A002_03_export.csv",""
"T00200","A002","10/22/2025","2025-10-23","Southwest Gas","-105.08","USD","A002_10_export.csv","Food"
"T00201","A003","2025-10-08 00:00:00","2025-10-10","DOORDASH*TEMP AUTH","-49.26","USD","A003_10_export.csv",""
"T00202","A004","2025-11-22 00:00:00","2025-11-23","AMAZON.COM*","-111.21","USD","A004_11_export.csv",""
"T00203","A004","2025-09-25 00:00:00","2025-09-26","DoorDash","-26.96","USD","A004_09_export.csv",""
"T00204","A001","2025-08-05","2025-08-06","SMITHS GROCERY 0348","-188.93","USD","A001_08_export.csv",""
"T00205","A005","2025-12-24","2025-12-26","Smith's","-71.32","USD","A005_12_export.csv",""
"T00206","A003","4/5/2025","2025-04-07","TRADER JOES 124","-160.53","USD","A003_04_export.csv",""
"T00207","A005","2025-03-24","2025-03-25","DoorDash","-63.32","USD","A005_03_export.csv",""
"T00208","A002","2025-05-04 00:00:00","2025-05-05","NVENERGY PAYMENT","-184.2","USD","A002_05_export.csv",""
"T00209","A004","12/12/2025","2025-12-13","Chevron","-61.34","USD","A004_12_export.csv","Other"
"T00210","A005","2025-07-04 00:00:00","2025-07-06","AIRBNB * HM","-662.42","USD","A005_07_export.csv",""
"T00211","A002","11/10/2025","2025-11-11","SMITHS GROCERY 0348","-167.54","USD","A002_11_export.csv",""
"T00212","A005","2025-06-27","2025-06-28","Chevron","-35.14","USD","A005_06_export.csv",""
"T00213","A005","5/26/2025","2025-05-27","Cox Communications","-113.51","USD","A005_05_export.csv","Shopping"
"T00214","A003","8/19/2025","2025-08-20","AMC 0039 TOWN SQUARE","-60.07","USD","A003_08_export.csv",""
"T00215","A005","4/19/2025","2025-04-21","UBER *TRIP","-51.32","USD","A005_04_export.csv","Bills"
"T00216","A004","2025-09-06","2025-09-07","Uber","-59.05","USD","A004_09_export.csv",""
"T00217","A003","2025-10-01","2025-10-02","AMC Theatres","-52.8","USD","A003_10_export.csv",""
"T00218","A001","2025-12-20","2025-12-22","Yard House","-57.77","USD","A001_12_export.csv",""
"T00219","A002","2025-10-08","2025-10-09","NIKE LAS VEGAS","-214.74","USD","A002_10_export.csv",""
"T00220","A005","5/27/2025","2025-05-28","Marriott","-318.74","USD","A005_05_export.csv",""
"T00221","A004","2025-05-04","2025-05-05","Airbnb","-491.23","USD","A004_05_export.csv",""
"T00222","A005","2025-01-27","2025-01-28","CVS","-107.07","USD","A005_01_export.csv","Shopping"
"T00223","A005","9/7/2025","2025-09-08","Target","-106.81","USD","A005_09_export.csv","Other"
"T00224","A003","2025-07-10","2025-07-11","SOUTHWEST AIR","-308.66","USD","A003_07_export.csv",""
"T00225","A002","2025-06-19","2025-06-20","Uber","-77.42","USD","A002_06_export.csv","Shopping"
"T00226","A005","2025-09-17 00:00:00","2025-09-18","WALGREENS #04712","-49.96","USD","A005_09_export.csv","Food"
"T00227","A004","2025-06-22 00:00:00","2025-06-23","Yard House","-69.44","USD","A004_06_export.csv",""
"T00228","A003","2025-08-04 00:00:00","2025-08-05","Trader Joe's","-165.1","USD","A003_08_export.csv",""
"T00229","A004","2025-01-29","2025-01-30","SPOTIFY USA","-53.34","USD","A004_01_export.csv","Shopping"
"T00230","A003","2025-03-02 00:00:00","2025-03-04","Nike","-239.44","USD","A003_03_export.csv",""
"T00231","A004","8/22/2025","2025-08-23","Airbnb","-509.14","USD","A004_08_export.csv",""
"T00232","A005","2025-03-15 00:00:00","2025-03-16","SMITHS #348","-152.57","USD","A005_03_export.csv",""
"T00233","A005","2025-12-07 00:00:00","2025-12-08","AIRBNB * HM","-308.61","USD","A005_12_export.csv","Other"
"T00234","A002","8/27/2025","2025-08-28","Marriott","-613.39","USD","A002_08_export.csv","Bills"
"T00235","A004","2025-08-08 00:00:00","2025-08-09","Trader Joe's","-28.44","USD","A004_08_export.csv",""
"T00236","A002","2025-12-04","2025-12-05","CVS","-81.09","USD","A002_12_export.csv",""
"T00237","A003","2025-12-12","2025-12-14","COX COMMUNICATIONS","-106.25","USD","A003_12_export.csv",""
"T00238","A003","2025-08-13 00:00:00","2025-08-14","NETFLIX.COM","-15.59","USD","A003_08_export.csv","Shopping"
"T00239","A001","2025-04-15 00:00:00","2025-04-16","Walgreens","-36.33","USD","A001_04_export.csv",""
"T00240","A003","9/12/2025","2025-09-13","Yard House","-58.71","USD","A003_09_export.csv",""
"T00241","A005","2025-11-12","2025-11-13","WALGREENS #04712","-32.65","USD","A005_11_export.csv",""
"T00242","A002","2025-01-13","2025-01-14","COSTCO WHSE #1320","-53.33","USD","A002_01_export.csv","Shopping"
"T00243","A002","2025-09-13 00:00:00","2025-09-14","UBER *TRIP","-63.5","USD","A002_09_export.csv",""
"T00244","A004","2025-12-05","2025-12-06","Marriott","-162.43","USD","A004_12_export.csv",""
"T00245","A004","2025-05-03 00:00:00","2025-05-04","CHIPOTLE 2841","-57.63","USD","A004_05_export.csv",""
"T00246","A004","2025-06-03 00:00:00","2025-06-04","COX COMMUNICATIONS","-225.97","USD","A004_06_export.csv","Shopping"
"T00247","A003","2/19/2025","2025-02-21","UBER *TRIP","-60.31","USD","A003_02_export.csv","Food"
"T00248","A002","2025-03-28 00:00:00","2025-03-29","SOUTHWEST AIR","-938.8","USD","A002_03_export.csv",""
"T00249","A001","2025-03-19 00:00:00","2025-03-21","Yard House","-31.62","USD","A001_03_export.csv",""
"T00250","A001","2025-10-16 00:00:00","2025-10-18","SW GAS CORP","-68.74","USD","A001_10_export.csv",""
"T00251","A001","2025-09-13","2025-09-14","CVS/PHARMACY #8829","-60.15","USD","A001_09_export.csv",""
"T00252","A001","2/1/2025","2025-02-02","NIKE LAS VEGAS","-139.72","USD","A001_02_export.csv",""
"T00253","A005","2025-04-01 00:00:00","2025-04-02","WALGREENS #04712","-10.86","USD","A005_04_export.csv",""
"T00254","A003","2025-07-10 00:00:00","2025-07-11","CVS/PHARMACY #8829","-102.31","USD","A003_07_export.csv",""
"T00255","A001","2025-11-27 00:00:00","2025-11-28","COSTCO WHSE #1320","-160.25","USD","A001_11_export.csv",""
"T00256","A003","2025-10-13 00:00:00","2025-10-14","Shell","-79.58","USD","A003_10_export.csv",""
"T00257","A005","2025-04-07 00:00:00","2025-04-09","Netflix","-42.52","USD","A005_04_export.csv",""
"T00258","A004","12/27/2025","2025-12-28","Shell","-83.09","USD","A004_12_export.csv",""
"T00259","A005","2025-01-27","2025-01-29","NV Energy","-141.86","USD","A005_01_export.csv",""
